SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
,,,,,1,,,,,,,,
"10x Genomics, Inc. (NASDAQGS:TXG)",5248867,NASDAQGS,Health Care,"2,658.52",15,-0.97,-0.49,-0.52,-0.98,-0.69,-1.22,28.57,06/03/2026
1st Source Corporation (NASDAQGS:SRCE),100444,NASDAQGS,Financials,"1,640.83",3,6.64,6.64,6.48,6.65,6.73,6.55,4.01,06/03/2026
3M Company (NYSE:MMM),105135,NYSE,Industrials,"80,801.05",18,8.66,8.67,8.04,8.64,8.99,8.55,0.50,06/03/2026
A. O. Smith Corporation (NYSE:AOS),4020605,NYSE,Industrials,"9,816.41",14,4.02,4.03,3.80,4.01,4.13,3.90,1.32,06/03/2026
"A10 Networks, Inc. (NYSE:ATEN)",4433033,NYSE,Information Technology,"1,468.21",6,1.01,1.01,0.88,1.02,1.02,1.00,2.27,06/03/2026
"AAON, Inc. (NASDAQGS:AAON)",4987250,NASDAQGS,Industrials,"7,198.88",5,1.99,1.42,1.42,1.99,2.10,1.85,-4.93,06/03/2026
AAR Corp. (NYSE:AIR),4157610,NYSE,Industrials,"4,236.24",7,4.71,4.71,4.45,4.71,4.84,4.60,4.27,06/03/2026
Abbott Laboratories (NYSE:ABT),4004092,NYSE,Health Care,"190,380.54",28,5.68,5.68,5.15,5.68,5.77,5.45,-0.39,06/03/2026
AbbVie Inc. (NYSE:ABBV),4558282,NYSE,Health Care,"406,873.37",31,14.53,14.57,10.70,14.55,15.25,14.15,0.30,06/03/2026
AbCellera Biologics Inc. (NASDAQGS:ABCL),5289554,NASDAQGS,Health Care,"1,045.90",3,-0.70,-0.65,-0.65,-0.67,-0.60,-0.82,22.22,06/03/2026
Abercrombie & Fitch Co. (NYSE:ANF),4066681,NYSE,Consumer Discretionary,"3,897.89",10,10.77,9.90,9.84,10.78,11.10,10.55,-0.30,06/03/2026
ABM Industries Incorporated (NYSE:ABM),4066692,NYSE,Industrials,"2,568.95",8,3.99,3.99,3.64,3.96,4.13,3.88,-5.49,06/03/2026
"Academy Sports and Outdoors, Inc. (NASDAQGS:ASO)",5223225,NASDAQGS,Consumer Discretionary,"4,017.55",16,5.88,5.88,5.77,5.91,6.02,5.45,2.38,06/03/2026
"Acadia Healthcare Company, Inc. (NASDAQGS:ACHC)",4811530,NASDAQGS,Health Care,"2,362.47",13,1.47,1.98,2.09,1.46,1.55,1.42,1.01,06/03/2026
ACADIA Pharmaceuticals Inc. (NASDAQGS:ACAD),4811060,NASDAQGS,Health Care,"3,778.16",13,0.50,0.81,0.82,0.50,0.87,0.20,2.47,06/03/2026
Acadia Realty Trust (NYSE:AKR),103085,NYSE,Real Estate,"2,732.17",4,0.25,0.15,0.15,0.25,0.27,0.22,-33.33,06/03/2026
Accelerant Holdings (NYSE:ARX),28192562,NYSE,Financials,"2,493.26",2,0.85,0.79,0.79,0.85,0.87,0.82,NA,06/03/2026
Accenture plc (NYSE:ACN),4142760,NYSE,Information Technology,"132,290.95",28,13.85,13.82,13.83,13.87,14.07,13.54,0.47,06/03/2026
"ACI Worldwide, Inc. (NASDAQGS:ACIW)",4097321,NASDAQGS,Information Technology,"4,328.19",4,3.37,2.95,2.95,3.38,3.50,3.20,-4.07,06/03/2026
Acuity Inc. (NYSE:AYI),4991217,NYSE,Industrials,"8,390.02",10,19.78,19.80,19.85,19.85,20.39,19.13,3.21,06/03/2026
Acushnet Holdings Corp. (NYSE:GOLF),4912136,NYSE,Consumer Discretionary,"5,595.44",7,3.69,3.41,3.41,3.66,4.09,3.42,-8.53,06/03/2026
Adaptive Biotechnologies Corporation (NASDAQGS:ADPT),4578703,NASDAQGS,Health Care,"2,287.09",7,-0.48,-0.49,-0.49,-0.48,-0.43,-0.51,20.41,06/03/2026
Addus HomeCare Corporation (NASDAQGS:ADUS),4810366,NASDAQGS,Health Care,"1,871.95",14,6.90,6.17,6.17,6.91,7.05,6.72,0.97,06/03/2026
Adecoagro S.A. (NYSE:AGRO),4910946,NYSE,Consumer Staples,"1,437.29",4,-0.04,-0.07,0.05,-0.02,0.11,-0.25,-28.57,06/03/2026
Adeia Inc. (NASDAQGS:ADEA),4968288,NASDAQGS,Information Technology,"2,166.87",4,1.38,1.53,1.17,1.38,1.40,1.36,7.84,06/03/2026
Adient plc (NYSE:ADNT),4915451,NYSE,Consumer Discretionary,"1,667.10",13,2.13,2.14,1.95,2.12,2.48,1.83,-2.03,06/03/2026
Adobe Inc. (NASDAQGS:ADBE),4047847,NASDAQGS,Information Technology,"115,613.98",35,23.46,23.46,20.80,23.42,24.61,22.56,0.67,06/03/2026
ADT Inc. (NYSE:ADT),4589651,NYSE,Consumer Discretionary,"5,319.52",5,0.90,0.88,0.88,0.90,0.90,0.89,1.14,06/03/2026
"Advance Auto Parts, Inc. (NYSE:AAP)",4226924,NYSE,Consumer Discretionary,"3,024.83",25,2.75,1.82,1.82,2.75,3.24,2.44,24.86,06/03/2026
"Advanced Drainage Systems, Inc. (NYSE:WMS)",4987603,NYSE,Industrials,"11,381.32",8,6.13,6.14,5.98,6.14,6.26,5.94,-0.67,06/03/2026
"Advanced Energy Industries, Inc. (NASDAQGS:AEIS)",4306705,NASDAQGS,Information Technology,"10,977.23",10,8.60,6.25,6.26,8.55,8.94,8.30,2.56,06/03/2026
"Advanced Micro Devices, Inc. (NASDAQGS:AMD)",4066743,NASDAQGS,Information Technology,"313,756.26",42,6.64,6.66,3.97,6.67,7.56,5.60,4.77,06/03/2026
Aebi Schmidt Holding AG (NASDAQGS:AEBI),7095153,NASDAQGS,Industrials,"1,032.33",3,0.32,0.32,0.32,0.39,0.42,0.15,NA,06/03/2026
AECOM (NYSE:ACM),4509697,NYSE,Industrials,"12,160.89",12,5.96,5.26,5.27,5.96,6.10,5.85,0.38,06/03/2026
